"name","founded_on","num_funding_rounds","last_equity_funding_type","last_funding_at","headquartersCountry","employeeCount","Advertising","Agriculture.and.Farming","Clothing.and.Apparel","Commerce.and.Shopping","Community.and.Lifestyle","Computer.Hardware","Consumer.Electronics","Consumer.Goods","Content.and.Publishing","Data.and.Analytics","Design","Education","Energy","Environment.and.Sustainability","Events","Financial.Services","Food.and.Beverage","Gaming","Government.and.Military","Health.Care","HumanResources","Legal","Life.Sciences","Logistics","Manufacturing","Media.and.Entertainment","Messaging.and.Telecommunications","Music.and.Audio","Natural.Resources","Navigation.and.Mapping","Payments","Privacy.and.Security","Professional.Services","Real.Estate.and.Construction","Sales.and.Marketing","Software_x","Sports","Transportation","Travel.and.Tourism","Video","AR.and.VR","Artificial.Intelligence","Biotechnology","BlockChain","Hardware","Science.and.Engineering","Software_y","Sustainability","Round.1","Round.2","Round.3","Round.4","Round.5","short_description","success","days_since_founding"
"Adigica Health",1,3,17,477,83,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1606667,11197000,18707574,450000,1025483,"Developer and distributor of proprietary healthcare products",0,1884
"Aditx Therapeutics",340,3,6,917,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,109800,5e+06,6e+06,17403750,2e+07,"Aditx Therapeutics is a biotechnology company developing a novel nucleic acid-based technology.",1,1841
"Admix",202,5,11,662,32,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,407800,163100,2200000,7e+06,1500000,"In-game advertising solutions provider",0,1759
"aDolus Technology Inc.",393,3,9,661,13,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5e+05,6e+05,633000,115000,2423257,"aDolus provides a cloud platform to safeguard critical infrastructure, brokering information about ICS and IoT software and firmware.",0,1397
"Adonmo",112,7,17,751,42,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,77400,101000,124000,3e+06,1.5e+07,"Adonmo specialises in OOH digital advertising, enabling targeted ads at relevant localities using Hyperlocal Intelligence & patented tech",0,2045
"Advanced Scanners, Inc.",337,6,9,666,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25000,150000,10000,20000,1540000,"Manufacturer of a 3D optical vision system for brain surgeons",0,1526
"ADVANO",1,8,10,976,83,31,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150000,5e+05,4500000,120000,18500000,"ADVANO combines nanotechnology with fundamental chemical engineering principles to accelerate the renewable energy revolution.",0,2525
"Adventus Mining",1,7,6,885,13,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1997300,7888114,6940520,10603630,10897594,"Adventus Mining is a public company focused on metals exploration and development.",1,2407
"AdvicePay",154,4,17,390,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5e+05,275000,2e+06,228480,1071168,"Payment gateway and billing solution for financial planners",0,1481
"AdviNOW Medical",121,4,9,401,83,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1e+06,6e+06,2500000,3e+06,4e+06,"AI & AR-powered care management platform for healthcare professionals",0,1554
"AdWALK",223,5,9,275,28,31,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,17983,70010,65661,270014,165247,"Deviceless AR for advertising and in-store experience. Unique personalized and interactive digital signage technology for marketing.",0,1140
"Adway",488,5,9,585,83,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,150000,3e+06,50000,6e+06,6e+06,"Adway specializes in recruitment marketing, employer branding, Hr-tech and candidate journey solutions.",0,1118
"AEG Vision",202,4,17,265,83,3001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29309693,58815569,180000,1085000,3030666,"AEG Vision empowers doctors to deliver patient care and  service by leveraging eye care industry best practices.",0,1151
"Aesyra",202,5,10,152,14,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,300501,10161,10376,26226,391256,"A wearable solution for managing bruxism",0,905
"Aether Biomedical",395,8,9,599,66,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38500,50000,250000,4408,549524,"Aether Biomedical is a rehabiliation robotics startup focused on building bionic limbs for upper limb amputees",0,1318
